serial,title,language,info_url
SLUS-01037SLUS-01037SLUS-01037,BALDUR'S GATE [3 DISCS],[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01037.html
SLUS-01249,BALL BREAKERS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01249.html
SLUS-00068,BALLBAZER CHAMPIONS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00068.html
SLUS-01568,BALLERBURG - CASTLE CHAOS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01568.html
SLUS-00966,BALLISTIC,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00966.html
SLUS-01361,BARBIE EXPLORER,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01361.html
SLUS-01569,BARBIE GOTTA HAVE GAMES,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01569.html
SLUS-00981,BARBIE RACE & RIDE,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00981.html
SLUS-00946,BARBIE SUPER SPORTS,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00946.html
SLUS-00086,BASES LOADED '96 - DOUBLE HEADER,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00086.html
SLUS-00873,BASS LANDING,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00873.html
SLUS-00905,BASS RISE,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00905.html
SLUS-01141,BATMAN - GOTHAM CITY RACER,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01141.html
SLUS-00393,BATMAN & ROBIN,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00393.html
SLUS-01207,BATMAN BEYOND - RETURN OF THE JOKER,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01207.html
SLUS-00387,BATMAN FOREVER - THE ARCADE GAME,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00387.html
SCUS-94003,BATTLE ARENA TOSHINDEN,[E],https://psxdatacenter.com/psx2/games/U/B/SCUS-94003.html
SCUS-94200,BATTLE ARENA TOSHINDEN,[E],https://psxdatacenter.com/psx2/games/U/B/SCUS-94200.html
SLUS-00220,BATTLE ARENA TOSHINDEN 2,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00220.html
SLUS-00483,BATTLE ARENA TOSHINDEN 3,[E][J],https://psxdatacenter.com/psx2/games/U/B/SLUS-00483.html
SLUS-01335,BATTLE HUNTER,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01335.html
SLUS-00389,BATTLESPORT,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-00389.html
SLUS-00456,BATTLESTATIONS,[E][F][G],https://psxdatacenter.com/psx2/games/U/B/SLUS-00456.html
SLUS-01044,BATTLETANX - GLOBAL ASSAULT,[E],https://psxdatacenter.com/psx2/games/U/B/SLUS-01044.html
